bin1_start	bin1_end	bin2_start	bin2_end
5120000	5121000	5218000	5219000
5177000	5178000	5218000	5219000
5136000	5137000	5218000	5219000
5166000	5167000	5218000	5219000
5184000	5185000	5218000	5219000
5160000	5161000	5218000	5219000
5216000	5217000	5218000	5219000
5116000	5117000	5218000	5219000
5135000	5136000	5218000	5219000
5115000	5116000	5218000	5219000
5168000	5169000	5219000	5220000
5199000	5200000	5219000	5220000
5124000	5125000	5219000	5220000
5182000	5183000	5219000	5220000
5145000	5146000	5219000	5220000
5156000	5157000	5219000	5220000
5208000	5209000	5219000	5220000
5155000	5156000	5219000	5220000
5121000	5122000	5220000	5221000
5196000	5197000	5220000	5221000
5157000	5158000	5220000	5221000
5202000	5203000	5220000	5221000
5122000	5123000	5220000	5221000
5190000	5191000	5220000	5221000
5160000	5161000	5221000	5222000
5216000	5217000	5221000	5222000
5116000	5117000	5221000	5222000
5135000	5136000	5221000	5222000
5115000	5116000	5221000	5222000
5204000	5205000	5221000	5222000
5217000	5218000	5221000	5222000
5121000	5122000	5221000	5222000
5196000	5197000	5221000	5222000
5157000	5158000	5221000	5222000
5216000	5217000	5223000	5224000
5116000	5117000	5223000	5224000
5135000	5136000	5223000	5224000
5115000	5116000	5223000	5224000
5204000	5205000	5223000	5224000
5221000	5222000	5223000	5224000
5217000	5218000	5223000	5224000
5121000	5122000	5223000	5224000
5196000	5197000	5223000	5224000
5157000	5158000	5223000	5224000
5202000	5203000	5223000	5224000
5128000	5129000	5225000	5226000
5178000	5179000	5225000	5226000
5125000	5126000	5225000	5226000
5138000	5139000	5225000	5226000
5198000	5199000	5225000	5226000
5120000	5121000	5225000	5226000
5177000	5178000	5225000	5226000
5136000	5137000	5225000	5226000
5218000	5219000	5225000	5226000
5166000	5167000	5225000	5226000
5184000	5185000	5225000	5226000
5160000	5161000	5225000	5226000
5216000	5217000	5225000	5226000
5116000	5117000	5225000	5226000
5135000	5136000	5225000	5226000
5199000	5200000	5228000	5229000
5219000	5220000	5228000	5229000
5124000	5125000	5228000	5229000
5182000	5183000	5228000	5229000
5145000	5146000	5228000	5229000
5156000	5157000	5228000	5229000
5208000	5209000	5228000	5229000
5155000	5156000	5228000	5229000
5117000	5118000	5228000	5229000
5200000	5201000	5233000	5234000
5168000	5169000	5233000	5234000
5199000	5200000	5233000	5234000
5219000	5220000	5233000	5234000
5124000	5125000	5233000	5234000
5228000	5229000	5233000	5234000
5182000	5183000	5233000	5234000
5145000	5146000	5233000	5234000
5156000	5157000	5233000	5234000
5200000	5201000	5235000	5236000
5168000	5169000	5235000	5236000
5199000	5200000	5235000	5236000
5233000	5234000	5235000	5236000
5219000	5220000	5235000	5236000
5124000	5125000	5235000	5236000
5228000	5229000	5235000	5236000
5182000	5183000	5235000	5236000
5145000	5146000	5235000	5236000
5156000	5157000	5235000	5236000
5200000	5201000	5236000	5237000
5168000	5169000	5236000	5237000
5199000	5200000	5236000	5237000
5233000	5234000	5236000	5237000
5235000	5236000	5236000	5237000
5219000	5220000	5236000	5237000
5124000	5125000	5236000	5237000
5228000	5229000	5236000	5237000
5182000	5183000	5236000	5237000
5216000	5217000	5238000	5239000
5116000	5117000	5238000	5239000
5135000	5136000	5238000	5239000
5115000	5116000	5238000	5239000
5204000	5205000	5238000	5239000
5221000	5222000	5238000	5239000
5223000	5224000	5238000	5239000
5217000	5218000	5238000	5239000
5121000	5122000	5238000	5239000
5196000	5197000	5238000	5239000
5157000	5158000	5238000	5239000
5202000	5203000	5238000	5239000
5216000	5217000	5243000	5244000
5116000	5117000	5243000	5244000
5135000	5136000	5243000	5244000
5115000	5116000	5243000	5244000
5204000	5205000	5243000	5244000
5221000	5222000	5243000	5244000
5238000	5239000	5243000	5244000
5223000	5224000	5243000	5244000
5217000	5218000	5243000	5244000
5121000	5122000	5243000	5244000
5196000	5197000	5243000	5244000
5157000	5158000	5243000	5244000
5202000	5203000	5243000	5244000
5122000	5123000	5243000	5244000
5220000	5221000	5243000	5244000
5138000	5139000	5244000	5245000
5198000	5199000	5244000	5245000
5120000	5121000	5244000	5245000
5177000	5178000	5244000	5245000
5225000	5226000	5244000	5245000
5136000	5137000	5244000	5245000
5218000	5219000	5244000	5245000
5166000	5167000	5244000	5245000
5184000	5185000	5244000	5245000
5160000	5161000	5244000	5245000
5216000	5217000	5244000	5245000
5116000	5117000	5244000	5245000
5135000	5136000	5244000	5245000
5115000	5116000	5244000	5245000
5204000	5205000	5244000	5245000
5221000	5222000	5244000	5245000
5238000	5239000	5244000	5245000
5202000	5203000	5245000	5246000
5122000	5123000	5245000	5246000
5220000	5221000	5245000	5246000
5190000	5191000	5245000	5246000
5116000	5117000	5247000	5248000
5135000	5136000	5247000	5248000
5115000	5116000	5247000	5248000
5204000	5205000	5247000	5248000
5221000	5222000	5247000	5248000
5238000	5239000	5247000	5248000
5223000	5224000	5247000	5248000
5217000	5218000	5247000	5248000
5243000	5244000	5247000	5248000
5121000	5122000	5247000	5248000
5196000	5197000	5247000	5248000
5157000	5158000	5247000	5248000
5202000	5203000	5247000	5248000
5122000	5123000	5247000	5248000
5220000	5221000	5247000	5248000
5216000	5217000	5248000	5249000
5116000	5117000	5248000	5249000
5135000	5136000	5248000	5249000
5115000	5116000	5248000	5249000
5204000	5205000	5248000	5249000
5221000	5222000	5248000	5249000
5238000	5239000	5248000	5249000
5223000	5224000	5248000	5249000
5217000	5218000	5248000	5249000
5243000	5244000	5248000	5249000
5121000	5122000	5248000	5249000
5247000	5248000	5248000	5249000
5196000	5197000	5248000	5249000
5157000	5158000	5248000	5249000
5202000	5203000	5248000	5249000
5122000	5123000	5248000	5249000
5220000	5221000	5248000	5249000
5198000	5199000	5249000	5250000
5120000	5121000	5249000	5250000
5177000	5178000	5249000	5250000
5225000	5226000	5249000	5250000
5136000	5137000	5249000	5250000
5218000	5219000	5249000	5250000
5166000	5167000	5249000	5250000
5184000	5185000	5249000	5250000
5160000	5161000	5249000	5250000
5244000	5245000	5249000	5250000
5216000	5217000	5249000	5250000
5116000	5117000	5249000	5250000
5135000	5136000	5249000	5250000
5115000	5116000	5249000	5250000
5204000	5205000	5249000	5250000
5221000	5222000	5249000	5250000
5238000	5239000	5249000	5250000
5223000	5224000	5249000	5250000
5217000	5218000	5249000	5250000
5243000	5244000	5249000	5250000
5248000	5249000	5249000	5250000
5121000	5122000	5249000	5250000
5247000	5248000	5249000	5250000
5216000	5217000	5250000	5251000
5249000	5250000	5250000	5251000
5116000	5117000	5250000	5251000
5135000	5136000	5250000	5251000
5115000	5116000	5250000	5251000
5204000	5205000	5250000	5251000
5221000	5222000	5250000	5251000
5238000	5239000	5250000	5251000
5223000	5224000	5250000	5251000
5217000	5218000	5250000	5251000
5243000	5244000	5250000	5251000
5248000	5249000	5250000	5251000
5121000	5122000	5250000	5251000
5247000	5248000	5250000	5251000
5196000	5197000	5250000	5251000
5157000	5158000	5250000	5251000
5202000	5203000	5250000	5251000
5134000	5135000	5257000	5258000
5197000	5198000	5257000	5258000
5123000	5124000	5257000	5258000
5138000	5139000	5261000	5262000
5198000	5199000	5261000	5262000
5120000	5121000	5261000	5262000
5177000	5178000	5261000	5262000
5225000	5226000	5261000	5262000
5136000	5137000	5261000	5262000
5218000	5219000	5261000	5262000
5166000	5167000	5261000	5262000
5184000	5185000	5261000	5262000
5160000	5161000	5261000	5262000
5244000	5245000	5261000	5262000
5216000	5217000	5261000	5262000
5249000	5250000	5261000	5262000
5116000	5117000	5261000	5262000
5135000	5136000	5261000	5262000
5115000	5116000	5261000	5262000
5204000	5205000	5261000	5262000
5219000	5220000	5619000	5620000
5124000	5125000	5619000	5620000
5228000	5229000	5619000	5620000
5182000	5183000	5619000	5620000
5145000	5146000	5619000	5620000
5156000	5157000	5619000	5620000
5208000	5209000	5619000	5620000
5155000	5156000	5619000	5620000
5117000	5118000	5619000	5620000
5144000	5145000	5619000	5620000
5128000	5129000	5619000	5620000
5178000	5179000	5619000	5620000
5125000	5126000	5619000	5620000
5236000	5237000	5620000	5621000
5199000	5200000	5620000	5621000
5233000	5234000	5620000	5621000
5235000	5236000	5620000	5621000
5219000	5220000	5620000	5621000
5124000	5125000	5620000	5621000
5228000	5229000	5620000	5621000
5182000	5183000	5620000	5621000
5145000	5146000	5620000	5621000
5156000	5157000	5620000	5621000
5619000	5620000	5620000	5621000
5208000	5209000	5620000	5621000
5155000	5156000	5620000	5621000
5117000	5118000	5620000	5621000
5144000	5145000	5620000	5621000
5236000	5237000	5621000	5622000
5199000	5200000	5621000	5622000
5233000	5234000	5621000	5622000
5235000	5236000	5621000	5622000
5219000	5220000	5621000	5622000
5124000	5125000	5621000	5622000
5228000	5229000	5621000	5622000
5620000	5621000	5621000	5622000
5182000	5183000	5621000	5622000
5145000	5146000	5621000	5622000
5156000	5157000	5621000	5622000
5619000	5620000	5621000	5622000
5208000	5209000	5621000	5622000
5155000	5156000	5621000	5622000
5117000	5118000	5621000	5622000
5144000	5145000	5621000	5622000
5128000	5129000	5621000	5622000
5178000	5179000	5621000	5622000
5125000	5126000	5621000	5622000
5236000	5237000	5656000	5657000
5199000	5200000	5656000	5657000
5233000	5234000	5656000	5657000
5235000	5236000	5656000	5657000
5219000	5220000	5656000	5657000
5124000	5125000	5656000	5657000
5228000	5229000	5656000	5657000
5620000	5621000	5656000	5657000
5621000	5622000	5656000	5657000
5182000	5183000	5656000	5657000
5145000	5146000	5656000	5657000
5156000	5157000	5656000	5657000
5619000	5620000	5656000	5657000
5208000	5209000	5656000	5657000
5155000	5156000	5656000	5657000
5117000	5118000	5656000	5657000
5144000	5145000	5656000	5657000
5128000	5129000	5656000	5657000
5178000	5179000	5656000	5657000
5125000	5126000	5656000	5657000
5200000	5201000	5657000	5658000
5168000	5169000	5657000	5658000
5236000	5237000	5657000	5658000
5199000	5200000	5657000	5658000
5233000	5234000	5657000	5658000
5235000	5236000	5657000	5658000
5219000	5220000	5657000	5658000
5124000	5125000	5657000	5658000
5228000	5229000	5657000	5658000
5620000	5621000	5657000	5658000
5621000	5622000	5657000	5658000
5182000	5183000	5657000	5658000
5656000	5657000	5657000	5658000
5145000	5146000	5657000	5658000
5156000	5157000	5657000	5658000
5168000	5169000	5714000	5715000
5236000	5237000	5714000	5715000
5199000	5200000	5714000	5715000
5233000	5234000	5714000	5715000
5235000	5236000	5714000	5715000
5657000	5658000	5714000	5715000
5219000	5220000	5714000	5715000
5124000	5125000	5714000	5715000
5228000	5229000	5714000	5715000
5620000	5621000	5714000	5715000
5621000	5622000	5714000	5715000
5182000	5183000	5714000	5715000
5656000	5657000	5714000	5715000
5145000	5146000	5714000	5715000
5156000	5157000	5714000	5715000
5619000	5620000	5714000	5715000
5208000	5209000	5714000	5715000
5155000	5156000	5714000	5715000
5117000	5118000	5714000	5715000
5219000	5220000	5715000	5716000
5714000	5715000	5715000	5716000
5124000	5125000	5715000	5716000
5228000	5229000	5715000	5716000
5620000	5621000	5715000	5716000
5621000	5622000	5715000	5716000
5182000	5183000	5715000	5716000
5656000	5657000	5715000	5716000
5145000	5146000	5715000	5716000
5156000	5157000	5715000	5716000
5619000	5620000	5715000	5716000
5208000	5209000	5715000	5716000
5155000	5156000	5715000	5716000
5117000	5118000	5715000	5716000
5144000	5145000	5715000	5716000
5128000	5129000	5715000	5716000
5178000	5179000	5715000	5716000
5125000	5126000	5715000	5716000
5138000	5139000	5715000	5716000
5168000	5169000	5716000	5717000
5236000	5237000	5716000	5717000
5199000	5200000	5716000	5717000
5233000	5234000	5716000	5717000
5235000	5236000	5716000	5717000
5657000	5658000	5716000	5717000
5219000	5220000	5716000	5717000
5714000	5715000	5716000	5717000
5124000	5125000	5716000	5717000
5228000	5229000	5716000	5717000
5620000	5621000	5716000	5717000
5621000	5622000	5716000	5717000
5182000	5183000	5716000	5717000
5656000	5657000	5716000	5717000
5145000	5146000	5716000	5717000
5156000	5157000	5716000	5717000
5619000	5620000	5716000	5717000
5208000	5209000	5716000	5717000
5155000	5156000	5716000	5717000
5715000	5716000	5716000	5717000
5117000	5118000	5716000	5717000
5124000	5125000	5811000	5812000
5228000	5229000	5811000	5812000
5620000	5621000	5811000	5812000
5621000	5622000	5811000	5812000
5182000	5183000	5811000	5812000
5656000	5657000	5811000	5812000
5145000	5146000	5811000	5812000
5156000	5157000	5811000	5812000
5619000	5620000	5811000	5812000
5208000	5209000	5811000	5812000
5155000	5156000	5811000	5812000
5715000	5716000	5811000	5812000
5117000	5118000	5811000	5812000
5144000	5145000	5811000	5812000
5128000	5129000	5811000	5812000
5178000	5179000	5811000	5812000
5125000	5126000	5811000	5812000
5138000	5139000	5811000	5812000
5198000	5199000	5811000	5812000
5236000	5237000	5823000	5824000
5199000	5200000	5823000	5824000
5233000	5234000	5823000	5824000
5235000	5236000	5823000	5824000
5657000	5658000	5823000	5824000
5219000	5220000	5823000	5824000
5714000	5715000	5823000	5824000
5716000	5717000	5823000	5824000
5124000	5125000	5823000	5824000
5228000	5229000	5823000	5824000
5620000	5621000	5823000	5824000
5621000	5622000	5823000	5824000
5182000	5183000	5823000	5824000
5656000	5657000	5823000	5824000
5145000	5146000	5823000	5824000
5156000	5157000	5823000	5824000
5619000	5620000	5823000	5824000
5208000	5209000	5823000	5824000
5155000	5156000	5823000	5824000
5715000	5716000	5823000	5824000
5117000	5118000	5823000	5824000
5811000	5812000	5823000	5824000
5144000	5145000	5823000	5824000
5128000	5129000	5823000	5824000
5178000	5179000	5823000	5824000
5125000	5126000	5823000	5824000
5117000	5118000	5824000	5825000
5811000	5812000	5824000	5825000
5144000	5145000	5824000	5825000
5128000	5129000	5824000	5825000
5178000	5179000	5824000	5825000
5125000	5126000	5824000	5825000
5138000	5139000	5824000	5825000
5198000	5199000	5824000	5825000
5120000	5121000	5824000	5825000
5177000	5178000	5824000	5825000
5225000	5226000	5824000	5825000
5136000	5137000	5824000	5825000
5218000	5219000	5824000	5825000
5166000	5167000	5824000	5825000
5261000	5262000	5824000	5825000
5184000	5185000	5824000	5825000
5160000	5161000	5824000	5825000
5244000	5245000	5824000	5825000
5216000	5217000	5824000	5825000
5235000	5236000	6142000	6143000
5657000	5658000	6142000	6143000
5219000	5220000	6142000	6143000
5714000	5715000	6142000	6143000
5716000	5717000	6142000	6143000
5228000	5229000	6142000	6143000
5620000	5621000	6142000	6143000
5621000	5622000	6142000	6143000
5823000	5824000	6142000	6143000
5182000	5183000	6142000	6143000
5656000	5657000	6142000	6143000
5145000	5146000	6142000	6143000
5156000	5157000	6142000	6143000
5619000	5620000	6142000	6143000
5208000	5209000	6142000	6143000
5155000	5156000	6142000	6143000
5715000	5716000	6142000	6143000
5811000	5812000	6142000	6143000
5144000	5145000	6142000	6143000
5178000	5179000	6142000	6143000
5168000	5169000	6146000	6147000
5236000	5237000	6146000	6147000
5199000	5200000	6146000	6147000
5233000	5234000	6146000	6147000
5235000	5236000	6146000	6147000
5657000	5658000	6146000	6147000
5219000	5220000	6146000	6147000
5714000	5715000	6146000	6147000
5716000	5717000	6146000	6147000
5228000	5229000	6146000	6147000
5620000	5621000	6146000	6147000
5621000	5622000	6146000	6147000
5823000	5824000	6146000	6147000
5182000	5183000	6146000	6147000
5656000	5657000	6146000	6147000
5156000	5157000	6146000	6147000
6142000	6143000	6146000	6147000
5619000	5620000	6146000	6147000
5208000	5209000	6146000	6147000
5155000	5156000	6146000	6147000
5715000	5716000	6146000	6147000
5824000	5825000	6150000	6151000
5198000	5199000	6150000	6151000
5177000	5178000	6150000	6151000
5225000	5226000	6150000	6151000
5218000	5219000	6150000	6151000
5166000	5167000	6150000	6151000
5261000	5262000	6150000	6151000
5184000	5185000	6150000	6151000
5160000	5161000	6150000	6151000
5244000	5245000	6150000	6151000
5216000	5217000	6150000	6151000
5249000	5250000	6150000	6151000
5204000	5205000	6150000	6151000
5621000	5622000	6152000	6153000
5823000	5824000	6152000	6153000
5182000	5183000	6152000	6153000
5656000	5657000	6152000	6153000
5156000	5157000	6152000	6153000
6142000	6143000	6152000	6153000
5619000	5620000	6152000	6153000
5208000	5209000	6152000	6153000
5155000	5156000	6152000	6153000
5715000	5716000	6152000	6153000
5811000	5812000	6152000	6153000
5178000	5179000	6152000	6153000
5824000	5825000	6152000	6153000
5198000	5199000	6152000	6153000
5177000	5178000	6152000	6153000
5225000	5226000	6152000	6153000
5200000	5201000	6154000	6155000
5168000	5169000	6154000	6155000
5236000	5237000	6154000	6155000
5199000	5200000	6154000	6155000
5233000	5234000	6154000	6155000
5235000	5236000	6154000	6155000
5657000	5658000	6154000	6155000
5219000	5220000	6154000	6155000
6146000	6147000	6154000	6155000
5714000	5715000	6154000	6155000
5716000	5717000	6154000	6155000
5228000	5229000	6154000	6155000
5620000	5621000	6154000	6155000
5621000	5622000	6154000	6155000
5823000	5824000	6154000	6155000
5182000	5183000	6154000	6155000
5656000	5657000	6154000	6155000
5156000	5157000	6154000	6155000
6142000	6143000	6154000	6155000
5619000	5620000	6154000	6155000
5208000	5209000	6154000	6155000
5219000	5220000	6156000	6157000
6146000	6147000	6156000	6157000
5714000	5715000	6156000	6157000
5716000	5717000	6156000	6157000
5228000	5229000	6156000	6157000
5620000	5621000	6156000	6157000
5621000	5622000	6156000	6157000
5823000	5824000	6156000	6157000
5182000	5183000	6156000	6157000
5656000	5657000	6156000	6157000
6142000	6143000	6156000	6157000
5619000	5620000	6156000	6157000
5208000	5209000	6156000	6157000
5715000	5716000	6156000	6157000
5811000	5812000	6156000	6157000
5178000	5179000	6156000	6157000
6152000	6153000	6156000	6157000
5200000	5201000	6160000	6161000
5168000	5169000	6160000	6161000
5236000	5237000	6160000	6161000
5199000	5200000	6160000	6161000
5233000	5234000	6160000	6161000
5235000	5236000	6160000	6161000
5657000	5658000	6160000	6161000
6154000	6155000	6160000	6161000
5219000	5220000	6160000	6161000
6146000	6147000	6160000	6161000
5714000	5715000	6160000	6161000
5716000	5717000	6160000	6161000
5228000	5229000	6160000	6161000
5824000	5825000	6164000	6165000
5198000	5199000	6164000	6165000
5177000	5178000	6164000	6165000
5225000	5226000	6164000	6165000
5218000	5219000	6164000	6165000
5166000	5167000	6164000	6165000
5261000	5262000	6164000	6165000
5184000	5185000	6164000	6165000
6150000	6151000	6164000	6165000
5244000	5245000	6164000	6165000
5216000	5217000	6164000	6165000
5249000	5250000	6164000	6165000
5204000	5205000	6164000	6165000
5221000	5222000	6164000	6165000
5238000	5239000	6164000	6165000
5219000	5220000	6165000	6166000
6146000	6147000	6165000	6166000
5714000	5715000	6165000	6166000
5716000	5717000	6165000	6166000
5228000	5229000	6165000	6166000
5620000	5621000	6165000	6166000
5621000	5622000	6165000	6166000
5823000	5824000	6165000	6166000
5182000	5183000	6165000	6166000
5656000	5657000	6165000	6166000
6142000	6143000	6165000	6166000
5619000	5620000	6165000	6166000
5208000	5209000	6165000	6166000
5715000	5716000	6165000	6166000
6156000	6157000	6165000	6166000
5811000	5812000	6165000	6166000
5178000	5179000	6165000	6166000
6152000	6153000	6165000	6166000
5200000	5201000	6173000	6174000
6160000	6161000	6173000	6174000
5236000	5237000	6173000	6174000
5199000	5200000	6173000	6174000
5233000	5234000	6173000	6174000
5235000	5236000	6173000	6174000
5657000	5658000	6173000	6174000
6154000	6155000	6173000	6174000
6156000	6157000	6179000	6180000
5811000	5812000	6179000	6180000
6152000	6153000	6179000	6180000
5824000	5825000	6179000	6180000
5198000	5199000	6179000	6180000
5225000	5226000	6179000	6180000
5218000	5219000	6179000	6180000
5261000	5262000	6179000	6180000
5184000	5185000	6179000	6180000
6150000	6151000	6179000	6180000
5244000	5245000	6179000	6180000
6164000	6165000	6179000	6180000
5216000	5217000	6179000	6180000
5221000	5222000	6180000	6181000
5238000	5239000	6180000	6181000
5223000	5224000	6180000	6181000
5250000	5251000	6180000	6181000
5217000	5218000	6180000	6181000
5243000	5244000	6180000	6181000
5248000	5249000	6180000	6181000
5247000	5248000	6180000	6181000
5196000	5197000	6180000	6181000
5202000	5203000	6180000	6181000
5220000	5221000	6180000	6181000
5245000	5246000	6180000	6181000
5196000	5197000	6181000	6182000
6180000	6181000	6181000	6182000
5202000	5203000	6181000	6182000
5220000	5221000	6181000	6182000
5245000	5246000	6181000	6182000
5190000	5191000	6181000	6182000
6152000	6153000	6189000	6190000
6179000	6180000	6189000	6190000
5824000	5825000	6189000	6190000
5198000	5199000	6189000	6190000
5225000	5226000	6189000	6190000
5218000	5219000	6189000	6190000
5261000	5262000	6189000	6190000
6150000	6151000	6189000	6190000
5244000	5245000	6189000	6190000
6164000	6165000	6189000	6190000
5216000	5217000	6189000	6190000
5249000	5250000	6189000	6190000
6179000	6180000	6190000	6191000
5824000	5825000	6190000	6191000
5198000	5199000	6190000	6191000
5225000	5226000	6190000	6191000
6189000	6190000	6190000	6191000
5218000	5219000	6190000	6191000
5261000	5262000	6190000	6191000
6150000	6151000	6190000	6191000
5244000	5245000	6190000	6191000
6164000	6165000	6190000	6191000
5216000	5217000	6190000	6191000
5249000	5250000	6190000	6191000
5204000	5205000	6190000	6191000
6160000	6161000	6192000	6193000
5236000	5237000	6192000	6193000
5199000	5200000	6192000	6193000
5233000	5234000	6192000	6193000
5235000	5236000	6192000	6193000
5657000	5658000	6192000	6193000
6154000	6155000	6192000	6193000
5219000	5220000	6192000	6193000
6146000	6147000	6192000	6193000
5714000	5715000	6192000	6193000
5716000	5717000	6192000	6193000
5228000	5229000	6192000	6193000
5620000	5621000	6192000	6193000
5621000	5622000	6192000	6193000
5823000	5824000	6192000	6193000
5656000	5657000	6192000	6193000
6142000	6143000	6192000	6193000
5619000	5620000	6192000	6193000
5208000	5209000	6192000	6193000
5715000	5716000	6192000	6193000
6165000	6166000	6192000	6193000
6156000	6157000	6192000	6193000
6152000	6153000	6195000	6196000
6179000	6180000	6195000	6196000
5824000	5825000	6195000	6196000
5198000	5199000	6195000	6196000
5225000	5226000	6195000	6196000
6189000	6190000	6195000	6196000
5218000	5219000	6195000	6196000
5261000	5262000	6195000	6196000
6150000	6151000	6195000	6196000
6190000	6191000	6195000	6196000
5244000	5245000	6195000	6196000
